"",PARAGRAPHS
26,The stand includes two accessory mount points which securely hold the two included tools crevice and soft brush It means that the accessories are not with you as you clean but they are at least in...
27,The vacuum can join your WiFi network and then the LG ThinQ app will track things like battery life cleaning history and other interesting but not necessary data For me it is mostly a novelty but ...
28,Using the vacuum is quite liberating After years of cleaning a 2600 square foot home with various corded vacuums it was eyeopening to take the same route with a cordless vacuum
29,With the universal floor tool attached I found I was moving around quicker than with the corded As the vacuum is lighter and did not have as aggressive beater bar inside the floor tool I was conce...
30,Being able to just keep going where I would previously have to retrace my steps in order not to exceed the power cord length was great In addition the Kompressor technology helps to reduce stops a...
31,I was able to do about three quarters of our house including stairs with a single battery on normal power Occasionally I would boost the power to get something embedded in the carpet but did not n...
32,Swapping batteries was painless other than the vacuum abruptly stopping and needing to walk back to the charging station to swap them over I then had plenty of power to return upstairs and finish ...
33,The app kept track of running time and battery status as I cleaned which was interesting but not especially useful Perhaps over time it could be but the jury is still out for me on the app right n...
34,In summary I am very happy with the portability and power of this vacuum and it seemed to be on par with the bigger heavier corded vacuum we own It could be run as a stick vacuum or you could remo...
35,Great job LG
36,LG CordZero A925KSM Cordless Stick Is A STANDOUT This LG Cord Zero cordless stick vacuum with Kompressor technology comes with two batteries for extended run time and a clever dirt squisher
37,Kompressor technology is a clever builtin feature that compresses the dirt in the dust bin so it does not need to be emptied as often Moving a lever is all it takes to squish the bin contents
38,Get up to 120 minutes of uninterrupted performance with a pair of included batteries These batteries are said to be an upgraded lithiumion design that can take repeated charges and discharges and ...
39,A portable charging stand is provided that holds the CordZero in place and does not require holes to be drilled into a wall though wall mounting is an option
40,Onetouch controls turn the vacuum on and off and adjust power levels up to Turbo mode with just a thumb This should prove to be less strenuous on the hand
41,Telescope the wand for greater flexibility and to more conveniently store the unit away while taking up less space
42,Removable and washable filters extend the life of the vacuum In addition the cyclone system is removable and washable
43,A Smart Inverter Motor creates powerful suction and is backed by a 10year limited warranty the motor not the batteries
44,The ThinQ app for iOS and Android allows users to check on the vacuum’s cleaning history and perform product diagnostics
45,Convertible from a stick to a hand vac clean floors furniture and vehicle interiors Use the included Universal Power Nozzle when in hand vac mode
46,LG CordZero is recommended for homes with minimal carpeting or rugs It is not recommended for use on any fiber floor covering with medium to deep pile the same as for any vacuum with a spinning br...
47,WHAT’S IN THE BOX
48,• A925KSM CordZero Cordless Stick Vacuum Six pounds wo accessories\n• Telescoping wand\n• Universal Power Nozzle\n• 2 Quick Release Batteries\n• Portable Charging Station\n• Crevice Tool\n• Extra ...
49,THE SETUP
50,Manuals read BOTH batteries charged can take up to 240 minutes from fully discharged it’s time to
51,PUT IT TO THE TEST
52,A strong not too loud motor whir tells me this stick means businessThere is plenty of suction even on the lowest power setting Once it hits a lowpile rug the power level should be increased for ef...
53,The Kompressor lever is a novel gimmick and it works As the bin fills the contents tend to coalesce near the cyclonic ports Using the Kompressor lever allows the dirt dust and other debris to be c...
54,Battery performance has been as expected with both batteries providing enough power to clean everywhere I like the easeofuse when vacuuming inside our cars
55,Easy to empty and the simple washable filter is very effective There are no consumables to deal with on a regular basis though the filters will degrade over time The batteries will eventually need...
56,The brush head is easy to dismantle for removal of anything wrapped around the brush A quarterturn of the red screw on the bottom releases the cover for brush head access
57,There have been no clogs to remove
58,The WiFienabled ThinQ App’s monitoring shows a detailed cleaning history and other stats but is in my mind a feature that is not so important or relevant to this reviewer
59,Everyone here is pretty impressed with this LG CordZero
60,CONCLUSION
61,Easy to set up Easy to use Easy to like even love Very easy to recommend
62,WARRANTY
63,Manufacturer’s one year warranty from the date of the original purchase and 10 years on the Smart Inverter Motor
64,Powerful compact stick vacuum Compact bagless super light and yet a powerful stick vacuum with tons of features It came with an extra battery and an extra prefilter along with a combination and cr...
65,Design  Small form factor with a base station to charge the stick vacuum and the additional battery The charging station or the base is heavy enough to hold the stick vacuum in place and I didnt h...
66,Function  Coming to the suction power I was impressed on how good it was it in picking up the fine dust from the rugs The fivestage filtration system speaks for itself when you see the bin filled ...
67,Overall I highly recommend this powerful vacuum just for the fact it has good suction power and ease of maintenance It literally took me less than 10 minutes to clean the filter and the cyclone he...
68,Nice experience I have several vacuum cleaners even though I don’t really enjoy vacuuming I like the end result but the actual process of vacuuming is a chore I have never used a cordless stick va...
69,This LG came with a wallmount stand for the vac but at this point I’m not going to be installing that permanently on my wall somewhere I have shared a picture of how to charge this vac if you chos...
70,I really like this stick vac to suck up the hair on my bathroom floor With my regular push vac it always sucks up the rugs that I have in there and it’s a pain With this stick I just sweep with it...
71,I connected this to my LG ThinQ app it wasn’t too difficult I already had the app because I have an LG smart TV but for some reason that isn’t on the app anymore and I couldn’t reconnect it I’ll w...
72,A handy manageablysized vacuum The LG A9 CordZero is the latest in LG’s stick vacuum cleaner models I have one of the earliest versions and for the most part was happy with it but there were a cou...
73,The CordZero is smaller compared to some other stick vacuums so has a smaller dirt container on it My older model would get easily clogged with dirt and frankly was a little bit of a pain to clean...
74,You have three levels of power normal power and turbo so your battery life will vary depending on what you use Normal can get you from 4060 minutes but I find this is best for just light duty work...
75,You can download the “LG ThinQ” app from Apple or Google with this model and it will connect via WiFi to the vacuum 24 Ghz only so after creating an account with it and picking the item you have y...
76,Overall I really like this updated model It works as well or slightly better than the original the Kompressor lever makes cleaning it out much easier and the size is perfect for many My only compl...
77,Amazing Cordless Vacuum w Swappable Battery Looking for a powerful cordless stick vacuum with the ability to hot swap batteries to complete the necessary cleaning job The LG CordZero Cordless Stic...
78,I personally own a Dyson Cyclone V10 which technically is 4 years or so old now and I remember when I first got it the one thing I had an issue with the most was the battery life I would have it o...
79,I really enjoyed the usability and comfortability of the LG CordZero Cordless Stick Vacuum with Kompressor technology Instead of having to constantly hold down a trigger to operate this vacuum it ...
80,Overall I must say that I am really happy with the LG CordZero Cordless Stick Vacuum with Kompressor technology Now I have the ability to do an amazing vacuuming job for 2 hours and don’t have to ...
81,Theres a Lot To Love We have a travel trailer we rent out during the summers so once a week we are always cleaning readying the trailer for the next rental I have to admit the Dyson V8 weve had fo...
82,After spending some time with the LG  CordZero Cordless Stick Vacuum with Kompressor technology I think it’s perfect for anyone who wants a premium cordless vacuum that has an awesome charging sta...
83,I have to admit the Dyson seems to have more powerful suction but the LG does almost as well while offering conveniences the Dyson simply cant The stand can go anywhere you dont have to drill it i...
84,The Kompressor is a terrific feature that allows you to press down on a button to compact dust dirt and other debris in the storage container It also makes it easier when emptying into the garbage...
85,Overall the CordZero A9 offers a lot of value despite its premiumlevel cost The CordZero is solidly constructed and cleans incredibly well While it has a lot of things going for it what really sta...
86,Love having 2 removable batteries Pros  Good power on normal mode no need to stress the battery life\nNice and quiet even on turbo mode\nIncludes a spare filter\nFilters are washable\nThere are mu...
87,Cons  The dust bin is not that large although the emptying lever is great\nI wish the powered mop attachment could be bought separately in the USA because I would buy it right away
88,\nThe best cordless vacuum on the market based on the removable batteries runtime and the better build quality and features vs competitors It’s great for hardwood rugs and getting under the beds a...
89,Best vacuum I have purchased ever I have always had issues with having to empty the bin on my previous Dysons and that was my main peeve with those vacuums I have a disability so I don’t vacuum as...
90,But with this machine I can vacuum as much as I want and with a push of a button it just compacts everything and makes more room For the price there is nothing better for bin space and with the ba...
91,This was the best investment period Especially if you can grab it on sale with a 0 finance deal
92,light and handy vacuum that makes cleaning fun  Assembly was very easy pretty much did it just by looking at the pieces\n The stand works out very well as we can keep it conveniently at any place ...
93,Awesome product Love this vaccuum Good suction and overall quality The multipurpose brush can get bogged down on thick carpet
94,Worth the money Works great  the main thing that I hate it’s that doesn’t have light to see better where is the dust
95,Perfect Pleased with my purchase I like that it had two batteries to extend the amount of cleaning time
96,I love it Love it It’s durable lightweight and picks up literally everything
97,inconvenient dustbin I do not like this vacuum Mainly because emptying the dustbin is too long of a process which creates a mess and leaves you wo a vacuum for 24hrs while the filter dries Otherwi...
98,Great Machine Experience Awful App Experience I received the LG  CordZero Cordless Stick Vacuum with Kompressor model A925KSM in a huge box with lots of parts that needed to be put together First ...
99,First the good I have the stand stored in a utilitytype closet that has an outlet to plug into nice way to keep it out of the way and my area clutterfree So like other cordless stick vacuums the m...
100,In 2019 I got the prior model to this one the paperwork and brochure that I received at the time called it the A9 The Kompressor is a welcome new addition If you look at the picture I have include...
101,Now the bad and the ugly I was having a terrible time getting my unit to connect with the app through the WiFi etc I have an android phone and I downloaded the LG Thin app You use this app to regi...
102,Good thing that the 800 is open 247 I called over the weekend when I had more time and ran into a terrible experience First they offshore you to the Philippines and my customer service person Kris...
103,While I was waiting on the phone during the many times that she put me on hold I though what if I delete the device and then try to add it again I did this 5 times until it finally worked after I ...
104,The good is the machine its operation and cleaning tools plus replacement parts included the badwhat is up with the app In conclusion I took 1 star away from my review and even considered taking 2...
105,well designed and thought out offering from LG Ill preface this by saying this review doesnt live in a vacuum pun intended I have had a few of these stick vacuums over the years and theyve mostly ...
106,pros  \n build quality  Better build quality than what Im used to The components feel sturdy and well made certainly well thought out and engineered Its very obvious that the team at LG saw someth...
107,adjustable height  How novel a telescoping main tube that you can slide back and forth depending on your height and comfort level
108,kompressorfilter clear switch  This is a really cool feature Use this external switch to push an internal ring down inside the filter sort of tamping down the contents Helps to clear the suction ...
109,floor stand  Also a nice touch the included floor stand lets you have a bit more freedom over where the vacuum is stored though it is still attached via power cable Nice to not have to drill into...
110,button operation instead of trigger  Not the biggest of pros of course but operating via button including multiple levels of suction per press instead of a trigger
111,2 batteries included removable  Another win for this model in my opinion is the inclusion of 2 removable batteries and the ability to charge both at the same time  one in the vacuum itself and th...
112,suction  All other technology aside it actually does a fairly good job of cleaning both carpets and hard floors It is however still a stick vacuum and while good for day to day cleaning probably ...
113,\ncons   no smaller hand held roller at this price point  While it is cheaper than some other manufacturers I still wouldve like to have had the smaller roller brush for pet hair on couches and si...
114,misc   wifiapp connection  Im not sure how useful this will be but there is the ability to connect via WIFI and get the status as well as cleaning log Probably not something Ill use a ton
115,\noverall  There are quite a few options out there in this category but this is definitely one of the stronger ones Easy 5 stars for me
116,Great performancedesign Versatile Great to use To sum it up I really like this vacuum There was definitely some thought put into the design it works very well it is versatile and using it seems le...
117,Unboxing and setup are what you would expect nothing out of the ordinary Simple quick and straightforward I needed to get the batteries charged up but I was otherwise ready to go in no time I did ...
118,As for the vacuum itself it has the same quality I have seen in other LG products I have used Everything is solidly built and put together well That said I was kind of pleasantly surprised with ho...
119,You get a rather nice standmount that I am still trying to determine how I want to set up Once I decide on a location I will probably go with the wall option I really like this part of the whole p...
120,In use I have found the vacuum very effective Now my space is rather small but it is mix of hard flooring and carpet It handles everything easily It has enough power for me in just the normal mode...
121,I will also add that while I am somewhat new to stick and honestly nice vacuums I also didn’t really have an issue with the size of the “bin” It is quite a bit smaller than I am used to but you ca...
122,Given my space this is again not a big deal for me in terms of getting my vacuuming jobs done but I have to commend LG on providing two batteries with this vacuum and the great charging solution P...
123,Ultimately I really like this vacuum It does all I need it to and it does it well It has an excellent storage solution and “range” is not a concern It’s built well and I think it should last over ...
124,Very Nice Stick Vac LG has created another great product I already own an LG TV as well as a washer and dryer Consequently I’ve already been using LG’s ThinQ app for Android Adding this stick vac ...
125,That being said the vacuum works wonderfully It’s very easy the switch between the included tools and I really like how it comes with an adjustable telescopic wand I’ve owned quite a few stick vac...
126,One thing I found a bit wonky is how the crevice and combination tools are stored on the stand As I mentioned I use crevice tool a lot On the stand there are 2 spots for storing the tools The fron...
127,We have a 3100 sqft home with hard wood floors rugs and carpet I’ve been able to vacuum the entire house on a single charge On the hard wood floors and rugs I use the standard power level on the c...
128,One unique feature of this vacuum is the “Kompressor technology” While this is a great feature I would not label it as “technology” It should be called a “Kompressor button” because that’s exactly...
129,All in all this is a great vacuum It has a very long battery life with an extra battery to spare It does a very good job vacuuming on hard flooring as well as rugs and carpets There are a few “qui...
130,THE LG CORDZERO CORDLESS A9 IS GREAT Received the LG A9 and it was a fairly easy assembly out of the box You simply do 2 clicks and then insert the battery on the vacuum itself A detailed instruct...
131,My model came with charging stand 2 battery packs a crevice tool soft brush tool and a cleaning brush tool for the bin It has the Universal Nozzle power head which was fine for all my needs here I...
132,I love the fact this can become a portable handheld unit by just removing it from the stick It worked wonders on my carpeted steps heading down in the basement I had been thinking about buying a h...
133,As far as the battery running times LG says you will get about an hour of cleaning time in the Normal mode which I did If you choose the Power Mode it should last about 2030 minutes and the Turbo ...
134,After cleaning the dust bin will need to be emptied of course and its so simple and efficient You just push down on the Kompressor lever and everything easily comes out No more using my hand to gr...
135,All in all I found this vacuum to be an excellent choice from ease of use to its cleaning ability I like that fact its not too heavy or bulky and has convenience features I really like I can defin...
136,Not perfect but pretty great I have an earlier model of the LG CordZero that Ive been very happy with and this new one so far is just as good There are a ton of things I like about it and only a f...
137,The charging base is sturdy and makes it really easy to grab the vacuum for use and drop it back in the slot for charging when its done I rarely have to switch to the second battery but if needed ...
138,The telescoping floor brush is another super convenient feature Im over 6 but when its fully extended I can vacuum without having to stoop over Then when Im doing the stairs I can shorten it until...
139,The kompressor technology is also a game changer The weak link with most stick vacuums in my house is they fill up really fast with pet hair and I feel like Im constantly emptying them With this o...
140,Its easy to empty out when youre done Usually pressing the lever down will make everything drop out but a couple taps on the side of the trash can will get anything that tries to stick I also pull...
141,It does have a wifi connection so you can add it to your LG ThinQ app with other LG appliances but I havent found that to be particularly useful for anything After Im done using it and put it on t...
142,There are a couple of things about it that arent perfect One is the suction is a little on the weak side especially if you have the stick extended all the way I find myself using it in the turbo m...
143,So its not perfect but like I said its still my vacuum of choice for cleanups in between major vacuuming with a corded model Its light easy to use holds a lot of debris and has a good long battery...
144,Excellent stick vacuum with some sneaky features Here is yet another stick vacuum on the market however hold on for a secondthis one has some things going for it
145,Whats in the boxSurprisingly a lot The box is fairly small but whomever was in charge of packing the box obviously is a world champion Tetris player I mean this in a good way since there are quite...
146,SetupAlthough there are quite a few parts setup was fairly straightforward You click together the stand click together the vacuum and insert the batterys You can then set up wifi if you want to ge...
147,UseOverall it is fairly straight forwardit is just a stick vacuum after all There are a few things though that I really like One of those things is the two batteries If you really want to get your...
148,Unique featuresBesides the two batteries see above there are the wifi features the extendable tube and a little flappy pushy doodad that helps empty the dust container The wifi features areneatbut...
149,OverallI really like this stick vacuum Besides the extending tube quirk I love everything else about it and that quirk is not enough for me to give it 4 stars rather than 5
150,A Strong Performer The LG Cord Zero is a great option at this price point when you compare it to other vacuums in the price range It has some positives and some flaws as most products do Anytime y...
151,Pros  \nIts very light weight while feeling solid When using the vacuum you never feel fatigue The material choices are excellent The main shaft slides up and down very easily for adjustment The d...
152,Cons  \nThere aren’t many cons It takes a bit of getting used to putting the vacuum in its stand For a while it will feel difficult but you get used to it after a while It could be designed better...
153,Great Addition to a RoboVac Home The LGCordZero Stick Vacuum with Kompressor technology is a great addition to a robovac home We live in a house with two dogs who shed and insist on bringing the g...
154,The LGCordZero has a very nice charging stand that hides in a cubbyhole nicely see picture LG provides a hideaway second battery that can be swapped and charged while the vacuum is in use The basi...
155,Setup was a breeze It literally took us longer to get it out of the box than it did to get it clicked together to use The instructions are clear and concise It is WiFi connected but I found that t...
156,The compressor technology actually works pretty well at least for fur and dust There is a lever that you press and it pushes the gunk down into the bottom of the gunk well Since none of these stic...
157,All in all an excellent addition to a robovac home It would be welcome in a smaller home or as an alternative to pulling out the corded vacuum to vacuum a room or couple of spots Highly recommended
158,LG Made it even Better I had the older version of this same model and really liked it This one is even better as the battery runtime has been improved to 60 minutes from 40 There’s still enough su...
159,Another difference is the old model included a hard floor and a carpet attachment This one just has one universal attachment to do both I think this approach is much better I’ve had no issues usin...
160,My old model also did not feature the “Kompressor” technology which compacts the dirt and hair so that it both stores more and is easier to dispose of It provides a Kompressor Lever that you can u...
161,Pros  \nHigh Performance \nNot that noisy \nIncludes 2 batteries \nWashable filters \n1 large attachment for all floors \nMultiple smaller attachments \nKompressor technology \nWifi enabled \nDock...
162,Cons  \nNone
163,Overall this is an excellent cordless stick vacuum and I have no hesitation recommending it to anyone The increased runtime and extra battery give you two hours which should be enough to cover an ...
164,Stand Out Cordless Vacuum Really impressed with this LG vacuum It has great suction on our carpet and leaves clean lines It also works great grabbing crumbs against the baseboards in the kitchen T...
165,LG Continues to Impress with the CordZero I’ve owned the first two generations of the CordZero My wife uses one of them to keep her classroom vacuumed I keep one upstairs and this new one downstai...
166,Battery life has improved with each iteration of the CordZero and it is impressive I have a 3000 square foot home and I rarely need to swap batteries while vacuuming from one end of the house to t...
167,The CordZero can also be connected to the internet but to be honest I have little to no desire to do so LG doesn’t need to know how often I use their vacuum or when the filters need to be cleaned…...
168,So nice I got it twice The LG CordZero stick vacuum is perfect for quick clean ups or for use in small areas This is actually my second one of these vacuums and the first is still going strong aft...
169,Lightweight powerful and easy to use and maintain
170,Unbelievable Vacuum I have so much to say about this vacuum and its all good things
171,This vacuum is extremely impressive It comes with a stand wall charger spare battery two separate attachments and a spare filter The battery lasts quite a long time I am not sure as to how long be...
172,Efficient stick needs balance The vacuum stick has great suction on both hardwood and our area rugs It does have some issues trying to pickup larger debris but a lot of this is toys you wouldn’t w...
173,An advantage to this is the free standing base for charging and storing the vacuum vice having to hang it on a wall Plus having the option to store most attachments to the stand and not having to ...
174,Expected Way More From This Vacuum I expected way more from this LG stick vacuum While it does clean up fairly well there are several issues that keep this from being a great stick vacuum
175,Positives firstit is lightweight and compact has good suction on high really good suction on turbo and does a mostly good job picking up dog hair dirt and dust on most surfaces The charging statio...
176,What keeps this unit from being great are the many negativesLow speed is mostly useless I have to use high or turbo to pick everything up off the floor and rugscarpet It struggles with larger soli...
177,I would not recommend this vacuum and would suggest anyone looking for a stick vacuum to look elsewhere
178,Poor suction Does not pick items up well I regret this purchase completely Always feel like its on low power mode I push items around too often and it does not pull them up becauce it does not hav...
179,POWERFUL LIGHTWEIGHT  EFFICIENT STICK VACUUM The LG CordZero A925KSM Kompressor Stick Vacuum is similar to some other LG cordless vacuum models and that is a very good thing The LG A925KSM is an e...
180,The LG CordZero A925KSM Kompressor arrives very well packed and includes the vacuum motor power head an aluminum telescoping extension wand 20” collapsed 295” extended a universal power nozzle for...
181,Assembly of the charging stand is straightforward and LG provides a quantity of printed product documentation The stand has a weighted base which I found to be very stable The stand may also be wa...
182,The combination tool and crevice tool attachments can be used with or without the telescoping extension wand easily accommodating cleaning out of reach areas as well as closeup cleaning tasks such...
183,Cordless stick vacuums are particularly attractive and desirable for their light weight easy maneuverability and superior convenience The LG CordZero A925 Kompressor excels in those attributes
184,The vacuum weighs only 595 lbs with most of the weight concentrated in the motor unit and battery The handle is large and comfortable The thumb operated power onoff switch and motor speed control ...
185,The power vacuum nozzle is equipped with a ballgimbal mount which affords outstanding maneuverability and directional control The CordZero easily reaches under low furniture and is easily maneuver...
186,The power vacuum nozzle contains a motorized 9” brushroll which operates at all times for both carpeted and hard surface floors A pair of small rollers facilitates movement on carpeting but nevert...
187,LG provides a specification of 200 watts of suction power If LG is actually describing an air watts rating 200 watts is double the required 100 air watt standard for upright vacuums and is only sl...
188,I found the suction power to be more than adequate The CordZero A925 provides three motor speeds power levels labeled as Normal Power and Turbo The default Normal mode proved to be extremely effec...
189,LG claims 40 minutes of operation per battery in Normal mode 20 minutes in Power mode and 6 minutes in Turbo mode when using the floor cleaning Universal Power Nozzle When used with a nonpowered t...
190,The lithium ion batteries are 259 volt 24 Ah  6216 Wh 23 Ah  5957 Wh minimum capacity Replacement batteries are expensive so they should be properly maintained Battery charging is accommodated by ...
191,Completion of charging of each battery is annunciated by LED indicators 3 incremental LED bars on the vacuum handle for attached battery and a single LED on the charging stand for second battery C...
192,I already had the ThinQ app installed on my LG smartphone Nevertheless it required a few attempts to finally connect the vacuum with the app via wifi The CordZero communicates only on 24GHz wifi
193,The ThinQ app tracks usage of the CordZero by date and cleaning sessions reporting total hoursminutes of use It also displays the duration of use in each of the three power modes and notifies the ...
194,The ThinQ app displays when the battery attached to the vacuum is being charged and when it is fully charged It does not provide any additional battery status data such as the remaining capacity o...
195,One improvement that I believe would be beneficial and appreciated would be the addition of an LED display with pushbutton on the LG batteries Every tool battery pack that I own has such a display...
196,Air filtration is comprised of multiple filter elements and is listed as being 5 stage HEPA filtration The filters are removable and washable A spare prefilter is also included
197,The small dust collection bin can fill quickly The CordZero A925 Kompressor employs a very unique lever operated “piston” to compress the dust and pet hair in the bin thereby extending the interva...
198,I am hopeful that the CordZero A925 proves to be durable and reliable but of course only time will tell The unit is comprised of a significant quantity of plastic components The latch and hinge wh...
199,Overall the LG CordZero A925 Kompressor stick vacuum is excellent It is compact lightweight easily maneuverable and efficient It is powerful yet not unpleasantly noisy It is wellequipped with acce...
200,I believe that you will be just as thoroughly pleased and satisfied with the excellent CordZero A925 Kompressor stick vacuum as we are with ours
201,Highly portable yet powerful stick vacuum The LG CordZero Cordless Stick Vacuum is a great looking relatively light vacuum cleaner which fits in nicely between our existing corded and robot vacuum...
202,Unboxing and assembly seemed to take longer than I had anticipated as some of the references in the quickstart and instructions referred to items that were not included in my set It appears that t...
203,The manual advises charging the batteries before usage so I timed it and it was about an hour or so before the battery was fully charged Once the vacuum charging mount is assembled it provides a s...
204,The charging mount can be freestanding or attached to a wall with the included mounting hardware You can even dispense with the stand’s foot if you are wall mounting and don’t need to freestand th...
205,The stand includes two accessory mount points which securely hold the two included tools crevice and soft brush It means that the accessories are not with you as you clean but they are at least in...
206,The vacuum can join your WiFi network and then the LG ThinQ app will track things like battery life cleaning history and other interesting but not necessary data For me it is mostly a novelty but ...
207,Using the vacuum is quite liberating After years of cleaning a 2600 square foot home with various corded vacuums it was eyeopening to take the same route with a cordless vacuum
208,With the universal floor tool attached I found I was moving around quicker than with the corded As the vacuum is lighter and did not have as aggressive beater bar inside the floor tool I was conce...
209,Being able to just keep going where I would previously have to retrace my steps in order not to exceed the power cord length was great In addition the Kompressor technology helps to reduce stops a...
210,I was able to do about three quarters of our house including stairs with a single battery on normal power Occasionally I would boost the power to get something embedded in the carpet but did not n...
211,Swapping batteries was painless other than the vacuum abruptly stopping and needing to walk back to the charging station to swap them over I then had plenty of power to return upstairs and finish ...
212,The app kept track of running time and battery status as I cleaned which was interesting but not especially useful Perhaps over time it could be but the jury is still out for me on the app right n...
213,In summary I am very happy with the portability and power of this vacuum and it seemed to be on par with the bigger heavier corded vacuum we own It could be run as a stick vacuum or you could remo...
214,Great job LG
215,LG CordZero A925KSM Cordless Stick Is A STANDOUT This LG Cord Zero cordless stick vacuum with Kompressor technology comes with two batteries for extended run time and a clever dirt squisher
216,Kompressor technology is a clever builtin feature that compresses the dirt in the dust bin so it does not need to be emptied as often Moving a lever is all it takes to squish the bin contents
217,Get up to 120 minutes of uninterrupted performance with a pair of included batteries These batteries are said to be an upgraded lithiumion design that can take repeated charges and discharges and ...
218,A portable charging stand is provided that holds the CordZero in place and does not require holes to be drilled into a wall though wall mounting is an option
219,Onetouch controls turn the vacuum on and off and adjust power levels up to Turbo mode with just a thumb This should prove to be less strenuous on the hand
220,Telescope the wand for greater flexibility and to more conveniently store the unit away while taking up less space
221,Removable and washable filters extend the life of the vacuum In addition the cyclone system is removable and washable
222,A Smart Inverter Motor creates powerful suction and is backed by a 10year limited warranty the motor not the batteries
223,The ThinQ app for iOS and Android allows users to check on the vacuum’s cleaning history and perform product diagnostics
224,Convertible from a stick to a hand vac clean floors furniture and vehicle interiors Use the included Universal Power Nozzle when in hand vac mode
225,LG CordZero is recommended for homes with minimal carpeting or rugs It is not recommended for use on any fiber floor covering with medium to deep pile the same as for any vacuum with a spinning br...
226,WHAT’S IN THE BOX
227,• A925KSM CordZero Cordless Stick Vacuum Six pounds wo accessories\n• Telescoping wand\n• Universal Power Nozzle\n• 2 Quick Release Batteries\n• Portable Charging Station\n• Crevice Tool\n• Extra ...
228,THE SETUP
229,Manuals read BOTH batteries charged can take up to 240 minutes from fully discharged it’s time to
230,PUT IT TO THE TEST
231,A strong not too loud motor whir tells me this stick means businessThere is plenty of suction even on the lowest power setting Once it hits a lowpile rug the power level should be increased for ef...
232,The Kompressor lever is a novel gimmick and it works As the bin fills the contents tend to coalesce near the cyclonic ports Using the Kompressor lever allows the dirt dust and other debris to be c...
233,Battery performance has been as expected with both batteries providing enough power to clean everywhere I like the easeofuse when vacuuming inside our cars
